"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.258035500E-2,-3.830722570E-1,-5.482721925E-1,9.902418137E0
3.265110100E-2,-3.878606856E-1,-5.578489900E-1,9.962273598E0
4.269132900E-2,-3.758896589E-1,-5.530605912E-1,9.981427193E0
5.276207500E-2,-3.782838583E-1,-5.410895944E-1,9.947908401E0
6.280230300E-2,-3.711012602E-1,-5.267243981E-1,9.907206535E0
7.287304900E-2,-3.758896589E-1,-5.482721925E-1,9.900024414E0
8.294379400E-2,-3.902548850E-1,-5.698199868E-1,9.916783333E0
9.298402400E-2,-3.734954596E-1,-5.650315881E-1,9.892841339E0
1.030547690E-1,-3.950432837E-1,-5.626373887E-1,9.888052940E0
1.130949980E-1,-4.237737060E-1,-5.698199868E-1,9.885659218E0
1.231657430E-1,-4.141969085E-1,-5.722141862E-1,9.904812813E0
1.332059720E-1,-4.237737060E-1,-5.937620401E-1,9.945513725E0
1.432767170E-1,-4.501099288E-1,-6.129156351E-1,9.979032516E0
1.533169460E-1,-4.285621047E-1,-6.081272364E-1,9.871294022E0
1.633876920E-1,-3.711012602E-1,-6.416460276E-1,9.916783333E0
1.734584380E-1,-4.309563041E-1,-6.105214357E-1,9.883264542E0
1.834986660E-1,-3.734954596E-1,-6.177040339E-1,9.919178009E0
1.935694120E-1,-4.237737060E-1,-6.081272364E-1,9.926360130E0
2.036096400E-1,-4.070142806E-1,-6.009446383E-1,9.914389610E0
2.136803860E-1,-4.022258818E-1,-6.105214357E-1,9.940725327E0
2.237511320E-1,-4.309563041E-1,-5.746083856E-1,9.892841339E0
2.337913610E-1,-3.998316824E-1,-5.865794420E-1,9.959878922E0
2.438621070E-1,-4.453215301E-1,-5.602431893E-1,9.895236015E0
2.539023350E-1,-4.046200812E-1,-5.578489900E-1,9.907206535E0
2.639730810E-1,-4.022258818E-1,-5.506663918E-1,9.926360130E0
2.740438270E-1,-4.189853072E-1,-5.243301988E-1,9.883264542E0
2.840840550E-1,-3.758896589E-1,-5.434837937E-1,9.947908401E0
2.941548010E-1,-4.261679053E-1,-5.219359994E-1,9.854534149E0
3.041950290E-1,-3.734954596E-1,-5.243301988E-1,9.909601212E0
3.142657760E-1,-4.213795066E-1,-5.363011956E-1,9.931148529E0
3.243365210E-1,-3.711012602E-1,-5.099649429E-1,9.940725327E0
3.343767500E-1,-3.687070608E-1,-5.291185975E-1,1.000536919E1
3.444474950E-1,-4.141969085E-1,-5.171475410E-1,9.921571732E0
3.544877230E-1,-3.567360640E-1,-5.530605912E-1,9.938331604E0
3.645584690E-1,-4.261679053E-1,-5.386953950E-1,9.888052940E0
3.746292150E-1,-3.471592367E-1,-5.363011956E-1,9.909601212E0
3.846694440E-1,-4.285621047E-1,-5.602431893E-1,9.868899345E0
3.947401900E-1,-4.094084799E-1,-5.722141862E-1,9.799467087E0
4.047804180E-1,-4.237737060E-1,-5.913678408E-1,9.864110947E0
4.148511640E-1,-4.070142806E-1,-5.746083856E-1,9.959878922E0
4.249219100E-1,-3.256114423E-1,-5.793967843E-1,1.016099167E1
4.349621380E-1,-4.094084799E-1,-5.937620401E-1,1.002931118E1
4.450328840E-1,-3.902548850E-1,-6.153098345E-1,9.801861763E0
4.550731120E-1,-4.501099288E-1,-6.200982332E-1,9.660603523E0
4.651438590E-1,-4.285621047E-1,-5.985504389E-1,9.691728592E0
4.752146050E-1,-3.902548850E-1,-6.057330370E-1,9.923966408E0
4.852548330E-1,-4.189853072E-1,-5.363011956E-1,1.004128170E1
4.953255790E-1,-3.256114423E-1,-5.315127969E-1,1.018014526E1
5.053658070E-1,-3.998316824E-1,-5.099649429E-1,1.014183807E1
5.154365530E-1,-3.758896589E-1,-4.788403511E-1,1.003649330E1
5.254767810E-1,-3.806780577E-1,-5.147533417E-1,9.969455719E0
5.355475270E-1,-4.261679053E-1,-5.171475410E-1,9.801861763E0
5.456182730E-1,-3.950432837E-1,-5.123591423E-1,9.818621635E0
5.556585010E-1,-4.812345505E-1,-5.291185975E-1,9.751583099E0
5.657292470E-1,-4.141969085E-1,-5.506663918E-1,9.818621635E0
5.757694750E-1,-4.405331016E-1,-5.578489900E-1,9.885659218E0
5.858402210E-1,-4.046200812E-1,-5.482721925E-1,9.883264542E0
5.958804490E-1,-3.758896589E-1,-5.770025849E-1,9.955090523E0
6.059511950E-1,-4.357447028E-1,-5.722141862E-1,9.916783333E0
6.160219410E-1,-3.591302633E-1,-6.153098345E-1,9.964667320E0
6.260621700E-1,-4.596867263E-1,-6.200982332E-1,9.945513725E0
6.361329160E-1,-3.711012602E-1,-5.937620401E-1,9.959878922E0
6.461731440E-1,-3.782838583E-1,-5.817909837E-1,1.001973438E1
6.562438900E-1,-3.998316824E-1,-5.602431893E-1,9.976638794E0
6.662841180E-1,-3.758896589E-1,-5.554547906E-1,1.000536919E1
6.763548640E-1,-4.213795066E-1,-5.243301988E-1,9.962273598E0
6.864256100E-1,-4.285621047E-1,-5.291185975E-1,9.923966408E0
6.964658390E-1,-3.974374831E-1,-5.267243981E-1,9.871294022E0
7.065365850E-1,-3.974374831E-1,-5.315127969E-1,9.852140427E0
7.165768130E-1,-3.926490843E-1,-5.195417404E-1,9.885659218E0
7.266475590E-1,-4.094084799E-1,-5.434837937E-1,9.988609314E0
7.367183050E-1,-3.998316824E-1,-5.578489900E-1,9.991003990E0
7.467585330E-1,-3.878606856E-1,-5.530605912E-1,9.962273598E0
7.568292780E-1,-3.974374831E-1,-5.458779931E-1,9.950302124E0
7.668695080E-1,-3.806780577E-1,-5.770025849E-1,9.928754807E0
7.769402530E-1,-3.926490843E-1,-6.009446383E-1,9.935936928E0
7.870109990E-1,-4.309563041E-1,-6.177040339E-1,9.962273598E0
7.970512270E-1,-4.381389022E-1,-6.320692301E-1,9.976638794E0
8.071219730E-1,-4.548983276E-1,-6.727706790E-1,9.993397713E0
8.171622010E-1,-4.644751251E-1,-6.799532771E-1,9.955090523E0
8.272329470E-1,-4.525041282E-1,-6.703764796E-1,9.914389610E0
8.372731760E-1,-4.548983276E-1,-6.943184733E-1,9.813833237E0
8.473439220E-1,-4.381389022E-1,-7.254431248E-1,9.797073364E0
8.574146680E-1,-4.357447028E-1,-7.924807668E-1,9.809044838E0
8.674548960E-1,-4.141969085E-1,-7.613561153E-1,9.835380554E0
8.775256420E-1,-4.716577232E-1,-8.643068075E-1,1.003170490E1
8.875658700E-1,-4.764461517E-1,-8.762778044E-1,9.945513725E0
8.976366160E-1,-4.405331016E-1,-8.954314590E-1,9.935936928E0
9.076768450E-1,-4.955997467E-1,-9.217676520E-1,9.868899345E0
9.177475910E-1,-4.740519226E-1,-9.409212470E-1,9.876082420E0
9.277878190E-1,-4.836287498E-1,-9.145850539E-1,9.880870819E0
9.378585650E-1,-4.764461517E-1,-9.528923035E-1,9.950302124E0
9.479293110E-1,-5.051765442E-1,-9.624691010E-1,9.928754807E0
9.579695390E-1,-4.860229492E-1,-9.289502501E-1,9.916783333E0
9.680402850E-1,-5.506663918E-1,-8.882488012E-1,9.830592155E0
9.780805130E-1,-4.860229492E-1,-9.361328483E-1,9.854534149E0
9.881512600E-1,-5.458779931E-1,-9.744400978E-1,9.864110947E0
9.981914880E-1,-5.123591423E-1,-9.528923035E-1,9.737217903E0
1.008262234E0,-5.027823448E-1,-9.744400978E-1,9.940725327E0
1.018302462E0,-4.836287498E-1,-1.031900883E0,9.880870819E0
1.028373208E0,-5.147533417E-1,-1.077390790E0,9.888052940E0
1.038413436E0,-5.315127969E-1,-1.055842996E0,9.842563629E0
1.048484182E0,-4.788403511E-1,-1.089361787E0,9.868899345E0
1.058554928E0,-5.003881454E-1,-1.106121182E0,9.890447617E0
1.068595157E0,-4.716577232E-1,-1.113303781E0,9.943120003E0
1.078665902E0,-4.979939461E-1,-1.137245774E0,9.979032516E0
1.088706131E0,-4.429273009E-1,-1.151610970E0,9.962273598E0
1.098776876E0,-4.955997467E-1,-1.175553083E0,9.871294022E0
1.108817105E0,-5.075707436E-1,-1.223437071E0,9.854534149E0
1.118887850E0,-4.644751251E-1,-1.228225470E0,9.864110947E0
1.128958596E0,-4.884171486E-1,-1.256955862E0,9.885659218E0
1.138998825E0,-5.123591423E-1,-1.259350061E0,9.900024414E0
1.149069571E0,-5.147533417E-1,-1.302445769E0,9.888052940E0
1.159109799E0,-4.692635238E-1,-1.345541358E0,9.854534149E0
1.169180545E0,-4.955997467E-1,-1.391031146E0,9.856928825E0
1.179220773E0,-5.722141862E-1,-1.419761658E0,1.006761837E1
1.189291519E0,-5.123591423E-1,-1.436521053E0,9.782708168E0
1.199331748E0,-5.195417404E-1,-1.544260144E0,9.703699112E0
1.209402494E0,-5.363011956E-1,-1.505952835E0,9.689333916E0
1.219473240E0,-4.812345505E-1,-1.515529633E0,9.888052940E0
1.229513468E0,-5.363011956E-1,-1.534683347E0,9.995792389E0
1.239584214E0,-4.908113480E-1,-1.587355733E0,9.861717224E0
1.249624442E0,-5.051765442E-1,-1.656787634E0,9.742006302E0
1.259695188E0,-5.099649429E-1,-1.671152830E0,9.581595421E0
1.269735417E0,-4.932055473E-1,-1.721431017E0,9.588777542E0
1.279806163E0,-5.315127969E-1,-1.719036818E0,9.734824181E0
1.289846391E0,-5.410895944E-1,-1.640028119E0,9.876082420E0
1.299917137E0,-5.410895944E-1,-1.707065821E0,1.004846478E1
1.309957365E0,-5.267243981E-1,-1.707065821E0,1.004367638E1
1.320028111E0,-5.315127969E-1,-1.671152830E0,9.945513725E0
1.330068339E0,-5.482721925E-1,-1.666364431E0,9.821015358E0
1.340139085E0,-5.243301988E-1,-1.632845521E0,9.715670586E0
1.350209832E0,-5.578489900E-1,-1.661576033E0,9.689333916E0
1.360250060E0,-5.578489900E-1,-1.680729628E0,9.758766174E0
1.370320806E0,-5.458779931E-1,-1.707065821E0,9.806650162E0
1.380361034E0,-4.979939461E-1,-1.726219416E0,9.775525093E0
1.390431780E0,-5.674257874E-1,-1.769315004E0,9.816226959E0
1.400472008E0,-5.698199868E-1,-1.771709204E0,9.794678688E0
1.410542754E0,-5.363011956E-1,-1.819593310E0,9.770736694E0
1.420582983E0,-5.195417404E-1,-1.807622313E0,9.737217903E0
1.430653728E0,-5.410895944E-1,-1.814804912E0,9.746794701E0
1.440693957E0,-5.243301988E-1,-1.817199111E0,9.765948296E0
1.450764702E0,-5.243301988E-1,-1.886630893E0,9.816226959E0
1.460804931E0,-5.315127969E-1,-1.946485996E0,9.816226959E0
1.470875676E0,-4.955997467E-1,-1.968033791E0,9.823410034E0
1.480946422E0,-5.267243981E-1,-2.011129379E0,9.818621635E0
1.490986651E0,-5.458779931E-1,-2.054224968E0,9.730035782E0
1.501057397E0,-5.171475410E-1,-2.035071373E0,9.643844604E0
1.511097625E0,-5.626373887E-1,-2.023100376E0,9.540893555E0
1.521168371E0,-5.554547906E-1,-2.008735180E0,9.533711433E0
1.531208599E0,-5.386953950E-1,-2.027888775E0,9.605537415E0
1.541279345E0,-5.267243981E-1,-2.090138197E0,9.641449928E0
1.551319574E0,-5.291185975E-1,-2.178723574E0,9.634267807E0
1.561390320E0,-5.219359994E-1,-2.262520552E0,9.538499832E0
1.571430548E0,-5.051765442E-1,-2.310404539E0,9.478644371E0
1.581501294E0,-5.171475410E-1,-2.336740971E0,9.363722801E0
1.591572040E0,-4.884171486E-1,-2.341529369E0,9.346963882E0
1.601612268E0,-5.386953950E-1,-2.387019157E0,9.339780807E0
1.611683014E0,-5.746083856E-1,-2.434903145E0,9.311050415E0
1.621723242E0,-6.344634295E-1,-2.494758129E0,9.366117477E0
1.631793989E0,-6.033388376E-1,-2.566584110E0,9.516951561E0
1.641834217E0,-5.913678408E-1,-2.612074137E0,9.710882187E0
1.651904963E0,-5.482721925E-1,-2.652775526E0,9.859322548E0
1.661945191E0,-5.315127969E-1,-2.683900118E0,9.914389610E0
1.672015937E0,-5.386953950E-1,-2.671929121E0,9.830592155E0
1.682056165E0,-5.363011956E-1,-2.724601507E0,9.696516991E0
1.692126911E0,-4.788403511E-1,-2.703053713E0,9.682151794E0
1.702167140E0,-5.602431893E-1,-2.729389906E0,9.674968719E0
1.712237886E0,-5.195417404E-1,-2.794033289E0,9.844957352E0
1.722278114E0,-5.458779931E-1,-2.741360903E0,9.873687744E0
1.732348860E0,-5.698199868E-1,-2.700659513E0,9.785101891E0
1.742389088E0,-5.841852427E-1,-2.703053713E0,9.708487511E0
1.752459834E0,-5.458779931E-1,-2.667140722E0,9.677363396E0
1.762530580E0,-5.698199868E-1,-2.643198729E0,9.610325813E0
1.772570809E0,-5.027823448E-1,-2.631227732E0,9.591172218E0
1.782641555E0,-5.410895944E-1,-2.657563925E0,9.490615845E0
1.792681783E0,-5.602431893E-1,-2.693476915E0,9.442731857E0
1.802752529E0,-5.698199868E-1,-2.748543501E0,9.449913979E0
1.812792757E0,-5.793967843E-1,-2.796427488E0,9.514557838E0
1.822863503E0,-5.530605912E-1,-2.832340717E0,9.564835548E0
1.832903731E0,-5.578489900E-1,-2.865859509E0,9.572018623E0
1.842974478E0,-5.793967843E-1,-2.889801502E0,9.548076630E0
1.853014706E0,-5.865794420E-1,-2.920926094E0,9.612719536E0
1.863085452E0,-5.841852427E-1,-2.940079689E0,9.646238327E0
1.873125680E0,-5.602431893E-1,-2.997540474E0,9.536105156E0
1.883165908E0,-4.692635238E-1,-3.043030262E0,9.267954826E0
1.893236654E0,-4.860229492E-1,-3.081337690E0,9.076418877E0
1.903276883E0,-5.099649429E-1,-3.122039080E0,9.131484985E0
1.913347629E0,-5.482721925E-1,-3.196259260E0,9.351752281E0
1.923387857E0,-5.506663918E-1,-3.232172251E0,9.538499832E0
1.933458603E0,-5.219359994E-1,-3.275267839E0,9.583989143E0
1.943498831E0,-5.051765442E-1,-3.303998232E0,9.567230225E0
1.953569577E0,-5.626373887E-1,-3.323152065E0,9.500192642E0
1.963609806E0,-5.458779931E-1,-3.332728863E0,9.409213066E0
1.973680552E0,-5.913678408E-1,-3.313575268E0,9.303867340E0
1.983720780E0,-5.578489900E-1,-3.299209833E0,9.287108421E0
1.993791526E0,-6.200982332E-1,-3.301604033E0,9.385271072E0
2.003831754E0,-6.224924326E-1,-3.284844637E0,9.423578262E0
2.013902500E0,-6.464344859E-1,-3.289633036E0,9.421183586E0
2.023973245E0,-6.296750307E-1,-3.287238836E0,9.428366661E0
2.034013474E0,-6.392518282E-1,-3.320757866E0,9.469067574E0
2.044084220E0,-6.440402865E-1,-3.327940464E0,9.464279175E0
2.054124449E0,-5.865794420E-1,-3.315969467E0,9.380482674E0
2.064195194E0,-5.722141862E-1,-3.339911461E0,9.342175484E0
2.074235423E0,-5.985504389E-1,-3.337517262E0,9.502586365E0
2.084306168E0,-5.985504389E-1,-3.306392431E0,9.818621635E0
2.094346397E0,-6.105214357E-1,-3.277662039E0,9.967061996E0
2.104417142E0,-5.746083856E-1,-3.275267839E0,9.871294022E0
2.114457372E0,-5.722141862E-1,-3.294421434E0,9.339780807E0
2.124528117E0,-5.195417404E-1,-3.318363667E0,8.650250435E0
2.134568346E0,-5.147533417E-1,-3.287238836E0,8.552088737E0
2.144608574E0,-4.596867263E-1,-3.265691042E0,8.951920509E0
2.154679320E0,-4.836287498E-1,-3.258508444E0,9.354146004E0
2.164719548E0,-5.123591423E-1,-3.272873640E0,9.643844604E0
2.174790294E0,-4.692635238E-1,-3.292027235E0,9.651026726E0
2.184830523E0,-4.884171486E-1,-3.330334663E0,9.385271072E0
2.194901268E0,-4.477157295E-1,-3.390189648E0,9.301473618E0
2.204941497E0,-4.860229492E-1,-3.394978046E0,9.308655739E0
2.215012242E0,-4.692635238E-1,-3.428496838E0,9.176975250E0
2.225052471E0,-4.692635238E-1,-3.464409828E0,9.198522568E0
2.235123216E0,-5.075707436E-1,-3.462015629E0,9.107542992E0
2.245163446E0,-4.740519226E-1,-3.502717018E0,9.205705643E0
2.255234191E0,-5.482721925E-1,-3.495534420E0,9.279925346E0
2.265274420E0,-4.668693244E-1,-3.536235809E0,9.289502144E0
2.275345165E0,-5.075707436E-1,-3.521870613E0,9.334992409E0
2.285385394E0,-4.812345505E-1,-3.521870613E0,9.246406555E0
2.295456139E0,-4.740519226E-1,-3.538630009E0,9.179368973E0
