"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.187567700E-2,-8.111774921E-3,9.374024346E-3,2.872848511E-2
4.188544300E-2,8.571356535E-3,2.153886296E-2,2.202129364E-2
5.189520900E-2,2.250748873E-2,-9.442364797E-3,1.983547211E-2
6.193549200E-2,-1.713275909E-2,1.107169129E-2,1.702213287E-2
7.194525700E-2,7.942020893E-4,-1.623904333E-2,2.959251404E-2
8.195502300E-2,2.832421660E-2,1.563462056E-2,-3.680229187E-3
9.199530600E-2,1.847559214E-2,-5.048906431E-3,-1.564693451E-2
1.020355890E-1,-5.574882030E-3,-1.517347991E-2,1.718521118E-2
1.120453550E-1,-1.034319401E-3,-2.653451636E-2,-1.990795135E-2
1.220551210E-1,-5.437821150E-3,-1.467612758E-2,5.711555481E-3
1.320648860E-1,2.275118232E-2,-2.236643434E-2,-2.183532715E-2
1.421051690E-1,-1.506245136E-2,1.603630185E-2,2.473068237E-2
1.521149350E-1,8.766770363E-3,2.863058448E-2,-2.267551422E-2
1.621552180E-1,-9.341657162E-3,2.210597321E-2,-2.556800842E-2
1.721649840E-1,-2.680864930E-2,-6.131853908E-3,-1.985549927E-3
1.822052670E-1,1.141214371E-2,8.239585906E-3,2.585411072E-2
1.922150330E-1,6.416797638E-3,-1.494254917E-3,-2.161026001E-3
2.022553160E-1,-2.155420184E-2,3.377944231E-3,1.115703583E-2
2.122650820E-1,-7.014364004E-3,1.769628376E-2,2.975940704E-2
2.223053650E-1,-2.015227079E-2,1.229596138E-2,-1.771450043E-2
2.323151300E-1,-9.795427322E-3,-1.271858811E-3,6.052970886E-3
2.423248960E-1,-1.355388761E-2,-2.353623882E-2,-1.325511932E-2
2.523346620E-1,-1.346161962E-2,-7.514540106E-3,1.104927063E-2
2.623749450E-1,-8.531212807E-3,-6.796710193E-3,1.108741760E-2
2.723847110E-1,-1.769676805E-2,1.275213808E-2,-7.650375366E-3
2.824249940E-1,-1.241901517E-2,3.905594349E-3,-1.251316071E-2
2.924347590E-1,1.444041729E-3,8.664626628E-3,6.307601929E-3
3.024445250E-1,1.628240943E-2,-2.080574632E-5,4.340076447E-2
3.124848080E-1,1.638093591E-2,-7.776804268E-3,4.268646240E-3
3.224945740E-1,6.446391344E-3,7.529243827E-3,-9.991645813E-3
3.325348570E-1,-2.160441875E-2,8.968699723E-3,4.235267639E-3
3.425446230E-1,1.646450162E-2,-1.840364933E-2,-3.308582306E-2
3.525543880E-1,-4.955723882E-2,-1.207539439E-2,7.219314575E-4
3.625946710E-1,3.275364637E-3,2.613655478E-2,2.436637878E-2
3.726044370E-1,-5.928486586E-3,-3.447337076E-2,5.167484283E-2
3.826142030E-1,3.694027662E-3,5.526766181E-4,-5.293846130E-3
3.926544860E-1,-1.965692639E-2,1.634329185E-2,2.806282043E-2
4.026642520E-1,2.775329351E-2,1.342561841E-2,3.827095032E-3
4.126740170E-1,-1.048099995E-2,-4.592008889E-2,-1.540565491E-2
4.227143000E-1,-1.030433178E-2,3.228877485E-2,-1.477336884E-2
4.327240660E-1,1.807284355E-2,-4.769954830E-3,-4.699516296E-2
4.427338320E-1,2.266153693E-2,-1.269195601E-2,-1.806068420E-2
4.527741150E-1,-1.067891717E-2,-1.628364250E-2,-1.819038391E-2
4.628143980E-1,3.970533609E-3,-1.027662307E-2,2.016448975E-2
4.728241640E-1,2.263653278E-2,-4.677698016E-3,1.514720917E-2
4.828644470E-1,4.126280546E-2,1.069979370E-2,4.320144653E-2
4.928742120E-1,-1.134368777E-2,-1.093845814E-2,4.674625397E-2
5.028839780E-1,8.050113916E-3,-1.257634908E-2,-1.431465149E-3
5.129242610E-1,1.246523857E-2,-3.276523203E-2,-5.289268494E-2
5.229340270E-1,7.195532322E-3,-2.035730332E-2,-1.401042938E-2
5.329437930E-1,-7.303178310E-3,-1.841282099E-2,-9.031295776E-3
5.429840760E-1,-7.229447365E-3,1.075875014E-2,-1.323413849E-2
5.529938410E-1,-2.593937516E-2,-3.391057253E-3,-4.149627686E-2
5.630036070E-1,-1.602202654E-2,-2.129250765E-2,6.361961365E-3
5.730438900E-1,-2.081239223E-2,3.281787038E-3,3.438186646E-2
