"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.408041200E-2,2.528660744E-2,4.221349955E-2,3.235244751E-2
5.007162300E-2,1.987096667E-2,5.770161748E-2,2.563476562E-2
6.606283400E-2,-2.458405122E-2,4.659795761E-2,4.536056519E-2
8.205404500E-2,-6.162483245E-2,1.130115986E-2,5.526828766E-2
9.798422000E-2,-1.474148687E-2,-3.020077944E-3,8.883953094E-2
1.140059490E-1,2.736689523E-3,-1.080238819E-2,9.080982208E-2
1.299971600E-1,9.306088090E-3,-3.464066982E-2,3.305912018E-2
1.459578530E-1,2.052063122E-3,-7.914802432E-2,-5.325412750E-1
1.619185470E-1,2.684545517E-2,-6.056042016E-2,2.715559006E-1
1.778487220E-1,-4.518163204E-2,7.996648550E-3,-3.701906204E-1
1.938399330E-1,-4.100155085E-2,-3.184981644E-2,1.515188217E-1
2.097701090E-1,-3.655653447E-2,6.786975265E-2,2.475347519E-1
2.257918380E-1,-1.464756392E-2,1.682841778E-2,-3.646850586E-3
2.417525310E-1,3.760895133E-2,6.060096622E-2,2.721319199E-1
2.577437420E-1,1.018310897E-2,-1.085764170E-2,-5.609893799E-1
2.737654700E-1,6.995400786E-2,-1.331534982E-2,1.309614182E-1
2.897566810E-1,6.182523444E-3,4.523098469E-3,2.338972092E-1
3.057478920E-1,2.702914178E-2,-5.616718531E-2,1.712970734E-1
3.216780680E-1,2.228133380E-3,-2.120479941E-2,-3.242073059E-1
3.376082440E-1,-3.369563445E-2,-5.492532253E-2,-5.852451324E-1
3.535689370E-1,-1.540564001E-2,-4.321634769E-4,1.517963409E-1
3.694991130E-1,-5.452197418E-2,3.154705465E-2,2.256374359E-1
3.854598060E-1,-2.375561371E-2,7.428374887E-2,1.118626595E0
4.014815350E-1,2.497892827E-3,8.153966069E-2,1.614170074E-1
4.174422280E-1,2.539742738E-2,6.308373809E-2,-5.814552307E-3
4.334639570E-1,-4.088098556E-2,3.980606794E-2,-4.717273712E-1
4.494246500E-1,-9.749846160E-2,-2.562049031E-2,-5.387363434E-1
4.654158610E-1,-4.687290266E-2,-1.639306545E-2,2.462091446E-1
4.813155190E-1,-1.298974454E-2,-7.839830220E-2,-1.039600372E-2
4.973067300E-1,3.632247448E-2,-8.835476637E-2,6.885166168E-1
5.132674240E-1,-1.462952141E-2,-4.217971861E-2,1.578807831E-2
5.292891520E-1,-1.261178963E-2,-4.790331423E-2,1.835298538E-1
5.452803630E-1,-1.863313466E-2,6.673166156E-2,-6.866455078E-4
5.612410560E-1,-2.290914953E-2,9.035938978E-2,-1.801748276E-1
5.772017500E-1,-1.195342652E-2,1.282101870E-1,-1.496410370E-2
