"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.226634200E-2,3.721502304E0,1.444882393E0,-4.153747559E-1
4.825755300E-2,-6.841812730E-1,5.838346481E-1,2.877902985E-2
6.415721100E-2,1.386893511E0,1.244799018E0,4.338436127E-1
8.011790500E-2,1.276417255E0,1.088851929E0,5.497369766E-1
9.610911600E-2,1.184727550E0,8.993169665E-1,4.027938843E-1
1.121003270E-1,-1.519303441E0,-1.377476215E0,1.486272812E-1
1.280610200E-1,-2.254325747E-1,6.597489119E-1,-4.641351700E-1
1.440827490E-1,-8.626292348E-1,-1.379854441E0,1.649456024E-1
1.600434420E-1,5.523888469E-1,1.019268036E0,8.392524719E-2
1.760346530E-1,-1.510605216E0,-6.777520180E-1,1.051600456E0
1.919953460E-1,2.791045904E0,7.746734619E-1,-8.274326324E-1
2.079560400E-1,-1.318960905E0,-1.295736790E0,8.392267227E-1
2.238862150E-1,8.137371540E-1,-1.262271881E0,-1.495962143E-1
2.399079440E-1,-1.162834287E0,-6.608879566E-2,-3.750705719E-2
2.558991550E-1,2.681617022E0,1.202291012E0,3.422136307E-1
2.718903660E-1,-1.493054509E0,-9.553605318E-1,3.077106476E-1
2.878510590E-1,1.550666571E0,1.153996229E0,1.686439514E-1
3.038117520E-1,2.842366934E0,-6.091749668E-2,-5.492010117E-1
3.198029630E-1,2.019115925E0,1.001489878E0,3.106546402E-1
3.357636570E-1,-8.111898303E-1,-7.490932941E-3,2.964715958E-1
3.517853850E-1,2.710428953E0,4.727441669E-1,3.734188080E-1
3.677460790E-1,1.814496994E0,-5.080400705E-1,5.357742310E-3
3.836762540E-1,1.905458272E-1,-1.041023374E0,-2.165088654E-1
3.996979830E-1,1.705695152E0,-3.164655566E-1,1.960840225E-1
4.156891940E-1,1.942698121E0,4.486703873E-1,-3.060188293E-1
4.316804050E-1,-2.146546245E-1,-7.086722255E-1,3.936080933E-1
4.476410980E-1,1.869540215E0,3.515177369E-1,2.295017242E-2
4.636323090E-1,9.117822647E-1,-6.933242679E-1,1.860475540E-1
4.796235200E-1,7.674965262E-2,-6.442579031E-1,8.101654053E-2
4.956147310E-1,-2.353167534E-2,-4.273904860E-1,-9.476184845E-2
5.116059420E-1,1.826758236E-1,-3.653586805E-1,3.143863678E-1
5.275666350E-1,5.046988726E-1,-3.327512145E-1,-3.055353165E-1
5.435883640E-1,9.547734857E-1,-6.981623173E-2,1.617641449E-1
5.595490570E-1,4.080417752E-1,2.015423775E-2,-3.666534424E-1
5.755097500E-1,2.881910503E-1,-2.408840656E-1,9.383487701E-2
5.915009610E-1,3.623082042E-1,1.810234785E-2,1.046314240E-1
6.074616550E-1,4.159363210E-1,-1.535059214E-1,-4.454231262E-2
6.234833830E-1,3.933300376E-1,-2.750658989E-2,4.339361191E-1
6.394440770E-1,4.812081158E-1,-2.012401819E-2,-1.479063034E-1
6.554047700E-1,3.653663993E-1,-1.861631870E-2,3.023061752E-1
6.713959810E-1,2.045599520E-1,-1.322394609E-2,2.707290649E-2
6.873566740E-1,1.456145048E-1,-4.034483433E-2,2.236938477E-2
7.033784030E-1,1.642129123E-1,-5.721890926E-2,2.720928192E-2
7.193390960E-1,2.970397174E-1,-8.031022549E-2,3.199958801E-2
7.352997900E-1,2.893621325E-1,-1.099117100E-1,2.001285553E-2
7.512910000E-1,2.423301935E-1,-1.083709896E-1,3.438472748E-2
7.672516940E-1,1.736499220E-1,-9.164828062E-2,1.013545990E-1
7.832734220E-1,1.587990820E-1,-7.731664181E-2,1.301403046E-1
7.992035980E-1,1.679828018E-1,-4.599630833E-2,8.011722565E-2
8.151642910E-1,1.703590155E-1,-2.901077271E-2,-9.174346924E-4
8.311249850E-1,1.657864451E-1,-3.389209509E-2,8.906364441E-3
8.470856780E-1,1.502816677E-1,-1.788651943E-2,-6.053447723E-2
8.631074070E-1,1.525174677E-1,2.332490683E-2,-1.229839325E-1
8.790681000E-1,1.752514988E-1,7.375794649E-2,8.262538910E-2
8.950287930E-1,1.981899291E-1,6.900537014E-2,3.961267471E-1
9.109894870E-1,1.871115416E-1,6.487137079E-2,4.515466690E-1
9.270112150E-1,1.150823087E-1,3.432995081E-2,6.937885284E-2
9.429719090E-1,8.168452978E-2,-4.057526588E-3,-1.402502060E-1
9.589326020E-1,3.305691481E-2,-3.048568964E-2,-1.083173752E-1
9.749238130E-1,-1.971602440E-3,-6.643623114E-2,-2.564258575E-1
9.908845060E-1,4.139065742E-2,-2.864938974E-2,6.651782990E-2
1.006936752E0,1.965290904E-1,-1.190686226E-2,4.779787064E-1
1.022897446E0,2.371387333E-1,-1.181852818E-2,5.654525757E-2
1.038858139E0,1.762874126E-1,-2.599954605E-3,-3.481798172E-1
1.054818833E0,5.924084783E-2,2.986270189E-2,-2.985725403E-1
1.070779526E0,2.897934616E-2,9.444689751E-2,5.931854248E-2
1.086801254E0,7.288949192E-2,1.286855340E-1,4.193401337E-1
1.102761948E0,1.529764831E-1,9.904229641E-2,4.396200180E-1
1.118722641E0,1.611632854E-1,-3.710427880E-2,-1.166734695E-1
1.134713852E0,1.004839242E-1,5.424767733E-3,-8.616065979E-2
1.150674545E0,-3.340557218E-3,-1.535808444E-1,-4.197177887E-1
