"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.864592800E-2,-1.871319413E-1,-3.321951628E-1,-5.980587006E-2
4.864592800E-2,-2.283008099E-1,-3.716883063E-1,2.402496338E-2
5.864592800E-2,-2.199315429E-1,-3.606182933E-1,4.249763489E-2
6.864592800E-2,-2.172251791E-1,-3.336653113E-1,6.696701050E-3
7.864592800E-2,-2.101395875E-1,-3.490316272E-1,-1.735877991E-2
8.864592800E-2,-2.034488618E-1,-3.124646544E-1,-8.679962158E-2
9.864592800E-2,-1.897715032E-1,-3.213863969E-1,-1.275062561E-1
1.086459280E-1,-1.761465222E-1,-3.002244830E-1,-1.444377899E-1
1.186468160E-1,-1.552477777E-1,-2.538195848E-1,-1.375932693E-1
1.286468160E-1,-1.387457848E-1,-2.153215408E-1,-9.504890442E-2
1.386468160E-1,-1.410847306E-1,-2.357559204E-1,-6.938171387E-2
1.486468160E-1,-1.383084357E-1,-2.364935875E-1,-3.659915924E-2
1.586468160E-1,-1.737566590E-1,-2.660154104E-1,-2.295875549E-2
1.686468160E-1,-1.780365407E-1,-2.864089608E-1,-2.122879028E-2
1.786468160E-1,-1.896703392E-1,-2.978518605E-1,5.959606171E-2
1.886468160E-1,-1.823978275E-1,-3.245327473E-1,1.125240326E-2
1.986468160E-1,-1.704147905E-1,-3.014096618E-1,3.479862213E-2
2.086468160E-1,-1.418265402E-1,-3.213284016E-1,-4.939365387E-2
2.186468160E-1,-1.660211086E-1,-3.075325489E-1,2.920150757E-2
2.286471660E-1,-1.280488819E-1,-3.052188158E-1,-7.421493530E-2
2.386471660E-1,-1.667471230E-1,-2.835252881E-1,4.979610443E-2
2.486471660E-1,-1.936443746E-1,-2.949424982E-1,4.208564758E-2
2.586471660E-1,-1.894557327E-1,-3.061164618E-1,6.787300110E-2
2.686471660E-1,-1.700547934E-1,-2.844282389E-1,-1.037454605E-1
2.786471660E-1,-1.427570283E-1,-2.798043489E-1,3.395080566E-2
2.886471660E-1,-9.579381347E-2,-2.363721132E-1,-1.607971191E-1
2.986471660E-1,-1.014266759E-1,-2.123010159E-1,-1.276493073E-2
3.086471660E-1,-8.251708001E-2,-2.093366981E-1,-6.075096130E-2
3.186471660E-1,-7.459172606E-2,-1.766939163E-1,-5.557060242E-3
3.286471660E-1,-7.740686089E-2,-1.695876718E-1,-1.249103546E-1
3.386471660E-1,-1.006192341E-1,-1.520747542E-1,-4.533004761E-2
