"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.788934700E-2,-5.813717842E-3,-3.014409542E-2,3.578662872E-2
9.789911300E-2,1.352381706E-2,-4.908496141E-2,6.605052948E-2
1.079088780E-1,-3.834635019E-2,-2.447038889E-2,6.220245361E-2
1.179186440E-1,-6.314098835E-3,-5.207151175E-2,2.895927429E-2
1.279284090E-1,-1.151859760E-3,-6.140720844E-2,1.449584961E-2
1.379381750E-1,-2.189952135E-2,-2.574098110E-2,2.511501312E-2
1.479784580E-1,-2.408617735E-2,-5.354464054E-2,3.957748413E-2
1.580187410E-1,9.539246559E-3,-1.871502399E-2,4.491806030E-2
1.680285070E-1,8.698284626E-3,-3.526431322E-2,6.408309937E-2
1.780382730E-1,3.429073095E-2,-3.565239906E-2,5.372428894E-2
1.880785560E-1,-1.281499863E-5,-6.080394983E-2,1.163635254E-1
1.980883220E-1,5.779570341E-2,-6.657975912E-2,4.862403870E-2
2.081286050E-1,3.207474947E-2,-4.118317366E-2,-8.972167969E-3
2.181383700E-1,2.137470245E-2,-5.337095261E-2,-7.894515991E-3
2.281481360E-1,2.451968193E-2,-3.246545792E-2,-8.611965179E-2
2.381884190E-1,3.755649924E-2,-2.116817236E-2,-9.110927582E-2
2.482592200E-1,4.249751568E-3,2.330327034E-2,-6.744003296E-2
2.631823160E-1,-1.354485750E-2,4.787504673E-2,-4.056549072E-2
2.731920810E-1,-4.083603621E-2,6.152379513E-2,-3.350448608E-2
2.832323640E-1,-3.537905216E-2,6.959325075E-2,-3.967285156E-3
2.932726480E-1,2.484977245E-3,6.336045265E-2,1.070785522E-2
3.033129310E-1,-5.415046215E-2,5.749738216E-2,-1.674270630E-2
3.133226970E-1,-3.371894360E-2,5.740892887E-2,-3.917312622E-2
3.233629800E-1,-2.270573378E-2,6.759369373E-2,-9.728431702E-3
3.333727450E-1,6.971001625E-3,-1.172500849E-2,5.003929138E-3
3.434130290E-1,-3.387159109E-2,5.761325359E-3,-2.295207977E-2
3.534227940E-1,-2.736085653E-2,-9.918808937E-4,-3.151130676E-2
3.634325600E-1,-2.452123165E-2,-2.538383007E-2,4.030513763E-2
3.734423250E-1,2.872014046E-2,-4.796385765E-2,7.328987122E-3
3.834826090E-1,4.638171196E-2,-5.192935467E-2,9.596443176E-2
3.934923740E-1,3.022319078E-2,-6.508171558E-2,7.939052582E-2
4.035326570E-1,-1.870417595E-2,-3.638380766E-2,-2.136230469E-3
4.135424230E-1,3.690266609E-2,-2.649742365E-2,-7.262611389E-2
4.235521890E-1,2.206218243E-2,-5.704164505E-3,-6.070709229E-2
4.335924720E-1,1.158869267E-2,6.283462048E-3,-3.994464874E-2
4.436022380E-1,-1.826888323E-2,2.310311794E-2,4.134941101E-2
4.536425210E-1,-1.509648561E-2,5.317354202E-2,9.706497192E-2
4.636828040E-1,-2.101510763E-2,6.270474195E-2,1.888847351E-1
4.736925700E-1,-5.839121342E-2,-5.390882492E-3,1.139497757E-1
4.837023350E-1,-2.305275202E-2,5.415439606E-2,3.148460388E-2
4.937426180E-1,3.452062607E-3,2.247595787E-2,-5.861377716E-2
5.037523840E-1,3.469038010E-2,1.543056965E-2,-9.447765350E-2
5.137621500E-1,6.086844206E-2,3.760635853E-2,-1.625232697E-1
5.237719150E-1,7.127207518E-2,1.838207245E-2,-2.054767609E-1
5.337816810E-1,3.277212381E-2,-4.214942455E-3,-1.345119476E-1
5.438219640E-1,-1.456916332E-3,-5.410313606E-2,-9.819889069E-2
5.538317300E-1,3.465813398E-2,-5.636459589E-2,1.282215118E-2
5.638720130E-1,2.351504564E-2,-6.450563669E-2,4.172229767E-2
5.738817790E-1,2.709126472E-2,-8.355748653E-2,8.815479279E-2
5.838915440E-1,1.186192036E-2,-3.288555145E-2,5.325508118E-2
5.939318270E-1,-1.183807850E-2,-6.437772512E-2,2.861309052E-2
6.039415930E-1,2.953231335E-3,-2.014315128E-2,1.401042938E-2
6.139513590E-1,1.760566235E-2,-9.498655796E-3,-1.919555664E-2
6.239916420E-1,-2.940970659E-2,1.982748508E-3,3.986358643E-4
6.340319250E-1,2.376580238E-2,6.586968899E-2,-3.709125519E-2
6.440416910E-1,4.878640175E-3,2.496445179E-2,-1.722049713E-2
6.540514560E-1,1.395869255E-2,1.818144321E-2,3.546428680E-2
6.640917390E-1,2.291899920E-2,1.549255848E-2,8.706569672E-2
6.741015050E-1,-5.687415600E-3,1.225519180E-2,5.352020264E-3
6.841112710E-1,4.941761494E-3,5.671346188E-2,-8.808135986E-3
6.941515540E-1,-7.810354233E-3,3.950643539E-2,-3.221702576E-2
7.041613200E-1,3.613096476E-2,6.649404764E-2,-5.007934570E-2
7.142016030E-1,2.683973312E-2,3.736823797E-2,-4.923915863E-2
7.242113680E-1,2.138704062E-2,3.790360689E-2,8.570671082E-3
7.342211340E-1,1.704394817E-3,2.396726608E-2,6.528663635E-2
7.442614170E-1,-8.596718311E-3,2.370899916E-2,8.329963684E-2
7.542711830E-1,-4.658997059E-3,3.701508045E-3,3.500461578E-2
7.642809480E-1,-5.336344242E-3,7.075965405E-3,3.004360199E-2
7.742907140E-1,3.708183765E-3,9.755730629E-3,1.086330414E-2
7.843309970E-1,-1.589417458E-2,-1.091325283E-2,1.434326172E-3
7.943407630E-1,-3.957724571E-2,6.481587887E-3,-4.053592682E-2
8.043810460E-1,3.552496433E-3,-3.784495592E-2,-1.607513428E-2
8.143908120E-1,-2.528238297E-2,-1.012086868E-2,-1.554870605E-2
8.244310950E-1,-2.122896910E-2,-4.456776381E-2,-1.498222351E-2
8.344408610E-1,-4.594367743E-2,-5.992412567E-2,2.303123474E-2
8.444506260E-1,-4.175674915E-2,-3.730535507E-2,-1.019668579E-2
8.544909090E-1,-3.229987621E-2,1.297134161E-2,-3.358364105E-2
8.645006750E-1,-3.178966045E-2,-3.957569599E-3,-3.290176392E-2
8.745409580E-1,-4.039877653E-2,1.282888651E-2,5.959510803E-3
8.845507240E-1,-4.402673244E-2,3.450316191E-2,6.120681763E-3
8.945604890E-1,-9.560048580E-3,8.916258812E-3,1.576519012E-2
9.046007730E-1,5.237400532E-3,1.197159290E-2,4.911422729E-2
9.146105380E-1,2.946281433E-2,3.971755505E-2,3.916358948E-2
9.246203040E-1,4.356396198E-2,3.418946266E-2,4.366874695E-2
9.346605870E-1,4.818177223E-2,-3.736454248E-2,-8.646965027E-3
9.446703530E-1,2.423876524E-2,2.516120672E-2,6.055831909E-3
9.546801180E-1,-2.354973555E-2,-2.778410912E-3,-4.571437836E-2
9.647204020E-1,5.280256271E-3,-2.051252127E-2,-2.100276947E-2
9.747301670E-1,-1.444011927E-2,-3.132820129E-4,-1.080513000E-3
9.847399330E-1,-1.061439514E-2,1.943159103E-2,2.341175079E-2
9.947802160E-1,-1.669615507E-2,2.011692524E-2,2.826690674E-2
1.004789982E0,-8.292555809E-3,4.396218061E-2,-4.918098450E-3
1.014830265E0,-4.242795706E-2,3.422331810E-2,5.690670013E-2
1.024840031E0,-2.850395441E-2,4.308396578E-2,-3.837299347E-2
1.034849796E0,-2.343958616E-2,1.370823383E-2,1.475715637E-2
1.044890079E0,-8.485138416E-3,2.702188492E-2,-4.680061340E-2
1.054899845E0,-2.617567778E-2,2.956688404E-3,-7.975578308E-3
1.064909611E0,2.731686831E-2,7.672369480E-3,1.626586914E-2
1.074949894E0,6.032949686E-2,3.454566002E-3,-1.626968384E-2
1.084990177E0,3.994637728E-2,-5.732178688E-4,2.200794220E-2
1.094999943E0,5.562722683E-3,-2.828884125E-2,-6.377220154E-3
1.105009708E0,1.960295439E-2,-3.190839291E-2,-6.274414062E-2
1.115019474E0,1.552462578E-2,-2.517449856E-2,-4.690074921E-2
1.125059757E0,7.645308971E-3,-1.801931858E-2,-3.110027313E-2
1.135069523E0,-4.330343008E-2,-3.375148773E-2,3.180885315E-2
