"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.337639100E-2,-1.482162625E-4,-3.298461437E-3,4.715156555E-2
4.341662100E-2,-1.707412302E-4,3.453493118E-4,-7.614135742E-3
5.345685000E-2,1.381151378E-4,1.543939114E-3,-2.493667603E-2
6.349707900E-2,-7.248409092E-4,1.648187637E-3,-1.365566254E-2
7.353730800E-2,8.978787810E-5,-7.809758186E-3,1.131544113E-1
8.357753800E-2,2.860091627E-4,-1.315057278E-2,1.976375580E-1
9.361776700E-2,-3.087825514E-2,-8.796691895E-3,2.740583420E-1
1.036579970E-1,-3.137309477E-2,3.100961447E-2,2.401552200E-1
1.136982260E-1,-6.829611957E-4,-9.652554989E-3,1.536254883E-1
1.237689730E-1,8.246786892E-4,-9.647905827E-3,1.242923737E-1
1.338092020E-1,-2.283714712E-4,-3.567516804E-3,5.843067169E-2
1.438494310E-1,2.607516944E-4,-9.549260139E-4,2.097129822E-2
1.538896610E-1,-2.702660859E-4,-4.208087921E-5,-2.858161926E-3
1.639298900E-1,-3.841631114E-4,-1.303315163E-3,1.754474640E-2
1.739701190E-1,-2.772174776E-4,-7.019042969E-4,1.887798309E-2
1.840103490E-1,-7.048174739E-4,-1.556634903E-3,3.495979309E-2
1.940505780E-1,-1.307949424E-5,-1.024127007E-3,1.961421967E-2
2.041213250E-1,-8.396208286E-4,-3.501832485E-3,5.448341370E-2
2.141615540E-1,4.288181663E-5,-3.623962402E-4,7.688522339E-3
2.242017840E-1,-3.415867686E-4,-7.702827454E-3,1.358518600E-1
2.342420130E-1,-2.912171185E-4,-4.211068153E-3,6.989383698E-2
2.442822420E-1,5.788505077E-4,-1.019424200E-2,1.706256866E-1
2.543224720E-1,-6.079934537E-4,-7.963180542E-3,1.425123215E-1
2.643627010E-1,4.858374596E-4,-8.267819881E-3,1.512393951E-1
2.744029310E-1,-3.846175969E-4,-2.869069576E-3,4.812622070E-2
2.844431600E-1,-2.862885594E-6,-3.862977028E-4,6.292343140E-3
2.945139070E-1,-1.775100827E-5,2.437233925E-4,-3.935813904E-3
3.045541360E-1,1.705922186E-4,1.531124115E-3,-2.534484863E-2
3.145943650E-1,-1.229238883E-2,-9.524405003E-3,6.076240540E-2
3.246345940E-1,2.323390171E-2,3.899097443E-3,4.155540466E-2
